,CBSA Code,Date,AQI,Category,Defining Parameter,Number of Sites Reporting,city_ascii,state_id,state_name,lat,lng,population,density,timezone
1325,12540,01/01/2022,69,Moderate,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1326,12540,02/01/2022,137,Unhealthy for Sensitive Groups,PM2.5,3,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1327,12540,03/01/2022,58,Moderate,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1328,12540,04/01/2022,56,Moderate,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1329,12540,05/01/2022,127,Unhealthy for Sensitive Groups,PM2.5,3,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1330,12540,06/01/2022,71,Moderate,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1331,12540,07/01/2022,95,Moderate,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1332,12540,08/01/2022,111,Unhealthy for Sensitive Groups,PM2.5,3,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1333,12540,09/01/2022,72,Moderate,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1334,12540,10/01/2022,88,Moderate,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1335,12540,11/01/2022,107,Unhealthy for Sensitive Groups,PM2.5,3,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1336,12540,12/01/2022,128,Unhealthy for Sensitive Groups,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1337,12540,13/01/2022,134,Unhealthy for Sensitive Groups,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1338,12540,14/01/2022,146,Unhealthy for Sensitive Groups,PM2.5,3,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1339,12540,15/01/2022,122,Unhealthy for Sensitive Groups,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1340,12540,16/01/2022,116,Unhealthy for Sensitive Groups,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1341,12540,17/01/2022,151,Unhealthy,PM2.5,3,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1342,12540,18/01/2022,97,Moderate,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1343,12540,19/01/2022,112,Unhealthy for Sensitive Groups,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1344,12540,20/01/2022,132,Unhealthy for Sensitive Groups,PM2.5,3,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1345,12540,21/01/2022,152,Unhealthy,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1346,12540,22/01/2022,97,Moderate,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1347,12540,23/01/2022,83,Moderate,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1348,12540,24/01/2022,72,Moderate,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1349,12540,25/01/2022,84,Moderate,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1350,12540,26/01/2022,81,Moderate,PM2.5,3,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1351,12540,27/01/2022,81,Moderate,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1352,12540,28/01/2022,59,Moderate,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1353,12540,29/01/2022,94,Moderate,PM2.5,3,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1354,12540,30/01/2022,74,Moderate,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1355,12540,31/01/2022,81,Moderate,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1356,12540,01/02/2022,84,Moderate,PM2.5,3,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1357,12540,02/02/2022,55,Moderate,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1358,12540,03/02/2022,63,Moderate,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1359,12540,04/02/2022,66,Moderate,PM2.5,3,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1360,12540,05/02/2022,64,Moderate,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1361,12540,06/02/2022,78,Moderate,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1362,12540,07/02/2022,107,Unhealthy for Sensitive Groups,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1363,12540,08/02/2022,105,Unhealthy for Sensitive Groups,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1364,12540,09/02/2022,118,Unhealthy for Sensitive Groups,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1365,12540,10/02/2022,134,Unhealthy for Sensitive Groups,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1366,12540,11/02/2022,120,Unhealthy for Sensitive Groups,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1367,12540,12/02/2022,77,Moderate,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1368,12540,13/02/2022,53,Moderate,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1369,12540,14/02/2022,56,Moderate,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1370,12540,15/02/2022,30,Good,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1371,12540,16/02/2022,31,Good,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1372,12540,17/02/2022,65,Moderate,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1373,12540,18/02/2022,74,Moderate,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1374,12540,19/02/2022,85,Moderate,PM2.5,3,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1375,12540,20/02/2022,83,Moderate,PM2.5,3,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1376,12540,21/02/2022,34,Good,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1377,12540,22/02/2022,26,Good,PM2.5,3,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1378,12540,23/02/2022,31,Good,PM2.5,3,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1379,12540,24/02/2022,40,Good,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1380,12540,25/02/2022,56,Moderate,PM2.5,3,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1381,12540,26/02/2022,67,Moderate,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1382,12540,27/02/2022,58,Moderate,PM2.5,2,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1383,12540,28/02/2022,62,Moderate,PM2.5,3,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1384,12540,01/03/2022,67,Moderate,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1385,12540,02/03/2022,69,Moderate,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1386,12540,03/03/2022,60,Moderate,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1387,12540,04/03/2022,20,Good,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1388,12540,05/03/2022,24,Good,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1389,12540,06/03/2022,46,Good,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1390,12540,07/03/2022,42,Good,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1391,12540,08/03/2022,44,Good,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1392,12540,09/03/2022,54,Moderate,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1393,12540,10/03/2022,50,Good,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1394,12540,11/03/2022,36,Good,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1395,12540,12/03/2022,35,Good,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1396,12540,13/03/2022,22,Good,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1397,12540,14/03/2022,46,Good,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1398,12540,15/03/2022,47,Good,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1399,12540,16/03/2022,27,Good,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1400,12540,17/03/2022,44,Good,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1401,12540,18/03/2022,48,Good,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1402,12540,19/03/2022,33,Good,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1403,12540,20/03/2022,25,Good,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1404,12540,21/03/2022,37,Good,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1405,12540,22/03/2022,49,Good,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1406,12540,23/03/2022,49,Good,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1407,12540,24/03/2022,40,Good,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1408,12540,25/03/2022,54,Moderate,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1409,12540,26/03/2022,54,Moderate,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1410,12540,27/03/2022,52,Moderate,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1411,12540,28/03/2022,16,Good,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1412,12540,29/03/2022,30,Good,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1413,12540,30/03/2022,54,Moderate,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
1414,12540,31/03/2022,56,Moderate,PM2.5,1,Bakersfield,CA,California,35.3529,-119.0359,556892,979,America/Los_Angeles
2200,13860,01/01/2022,39,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2201,13860,02/01/2022,37,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2202,13860,03/01/2022,32,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2203,13860,04/01/2022,33,Good,PM2.5,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2204,13860,05/01/2022,33,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2205,13860,06/01/2022,35,Good,PM2.5,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2206,13860,07/01/2022,32,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2207,13860,08/01/2022,39,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2208,13860,09/01/2022,38,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2209,13860,10/01/2022,37,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2210,13860,11/01/2022,35,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2211,13860,12/01/2022,33,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2212,13860,13/01/2022,31,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2213,13860,14/01/2022,38,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2214,13860,15/01/2022,37,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2215,13860,16/01/2022,33,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2216,13860,17/01/2022,21,Good,PM2.5,1,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2217,13860,19/01/2022,12,Good,PM2.5,1,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2218,13860,20/01/2022,40,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2219,13860,21/01/2022,39,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2220,13860,22/01/2022,38,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2221,13860,23/01/2022,38,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2222,13860,24/01/2022,35,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2223,13860,25/01/2022,43,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2224,13860,26/01/2022,41,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2225,13860,27/01/2022,41,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2226,13860,28/01/2022,44,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2227,13860,29/01/2022,38,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2228,13860,30/01/2022,35,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2229,13860,31/01/2022,32,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2230,13860,01/02/2022,41,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2231,13860,02/02/2022,40,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2232,13860,03/02/2022,41,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2233,13860,04/02/2022,39,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2234,13860,05/02/2022,40,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2235,13860,06/02/2022,42,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2236,13860,07/02/2022,39,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2237,13860,08/02/2022,39,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2238,13860,09/02/2022,42,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2239,13860,10/02/2022,40,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2240,13860,11/02/2022,39,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2241,13860,12/02/2022,39,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2242,13860,13/02/2022,36,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2243,13860,14/02/2022,37,Good,Ozone,2,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
2244,13860,15/02/2022,23,Good,PM2.5,1,Bishop,CA,California,37.3665,-118.3958,3747,776,America/Los_Angeles
