,CBSA Code,Date,AQI,Category,Defining Parameter,Number of Sites Reporting,city_ascii,state_id,state_name,lat,lng,population,density,timezone
3503,15980,01/01/2022,56,Moderate,PM2.5,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3504,15980,02/01/2022,29,Good,PM2.5,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3505,15980,03/01/2022,35,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3506,15980,04/01/2022,38,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3507,15980,05/01/2022,37,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3508,15980,06/01/2022,36,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3509,15980,07/01/2022,47,Good,PM2.5,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3510,15980,08/01/2022,44,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3511,15980,09/01/2022,35,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3512,15980,10/01/2022,31,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3513,15980,11/01/2022,39,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3514,15980,12/01/2022,37,Good,Ozone,1,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3515,15980,13/01/2022,40,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3516,15980,14/01/2022,48,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3517,15980,15/01/2022,45,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3518,15980,16/01/2022,38,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3519,15980,17/01/2022,39,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3520,15980,18/01/2022,37,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3521,15980,19/01/2022,42,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3522,15980,20/01/2022,43,Good,PM2.5,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3523,15980,21/01/2022,40,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3524,15980,22/01/2022,32,Good,PM2.5,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3525,15980,23/01/2022,35,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3526,15980,24/01/2022,44,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3527,15980,25/01/2022,45,Good,PM2.5,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3528,15980,26/01/2022,34,Good,PM2.5,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3529,15980,27/01/2022,39,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3530,15980,28/01/2022,40,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3531,15980,29/01/2022,43,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3532,15980,30/01/2022,44,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3533,15980,31/01/2022,46,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3534,15980,01/02/2022,49,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3535,15980,02/02/2022,44,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
