"Historical Trends (2000-2021)"

"Incidence, California, Lung & Bronchus, All Races (incl Hisp), All Ages, Both Sexes"

Section 1 - Line Segments:
Period,Annual Percent Change (1),Lower 95% Confidence Interval,Upper 95% Confidence Interval,Recent Trend
2000-2009,-1.9,-2.3,-0.7,falling
2009-2021,-3.0,-3.7,-2.7,falling

Section 2 - Yearly Points:
Year,Observed,Estimated
2000,60.0,60.0
2001,59.1,58.9
2002,57.6,57.8
2003,56.2,56.6
2004,55.5,55.6
2005,54.9,54.5
2006,54.2,53.5
2007,52.8,52.4
2008,51.0,51.4
2009,52.0,50.5
2010,48.6,48.9
2011,45.8,47.5
2012,45.4,46.1
2013,43.8,44.7
2014,43.3,43.3
2015,42.6,42.1
2016,41.2,40.8
2017,40.2,39.6
2018,38.4,38.4
2019,38.6,37.2
2020,33.2,N/A
2021,33.7,35.1

Notes:
Created by statecancerprofiles.cancer.gov on 11/30/2025 2:42 pm.
Regression lines calculated using the Joinpoint Regression Program (Version 5.3.0) [https://surveillance.cancer.gov/joinpoint/].
The 2020 incidence rate is displayed but not used in the fit of the trend line(s). Impact of COVID on SEER Cancer Incidence 2020 data (https://seer.cancer.gov/data/covid-impact.html).
"(1) The APC is the Annual Percent Change over the time interval.  Rates used in the calculation of the APC are age-adjusted to the 2000 U.S. standard population (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+)."

"Source: Incidence data provided by the SEER Program  ( https://seer.cancer.gov )  and the  National Program of Cancer Registries ( https://www.cdc.gov/cancer/npcr/index.htm ) SEER*Stat Database United States Department of Health and Human Services, Centers for Disease Control and Prevention. Rates calculated by the National Cancer Institute using SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Rates are age-adjusted to the 2000 US standard population ( https://seer.cancer.gov/stdpopulations/single_age.html ) (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modified by NCI. The US populations included with the data release have been adjusted for the population shifts due to hurricanes Katrina and Rita ( https://seer.cancer.gov/data/hurricane.html ) for 62 counties and parishes in Alabama, Mississippi, Louisiana, and Texas. The US Population Data ( https://seer.cancer.gov/popdata/ ) File is used with SEER data. Rates and trends in this graph are computed using the same standard for malignancy. For more information see malignant.html ( /malignant.html ) "

"Source: Death data provided by the National Vital Statistics System ( https://www.cdc.gov/nchs/nvss.htm ) public use data file. Death rates calculated by the National Cancer Institute using SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Death rates (deaths per 100,000 population per year) are age-adjusted to the 2000 US standard population ( https://seer.cancer.gov/stdpopulations/stdpop.19ages.html ) (19 age groups: (<1, 1-4, 5-9, ... , 80-84, 85+). Population counts for denominators are based on Census populations as modified by NCI. The US populations included with the data release have been adjusted for the population shifts due to hurricanes Katrina and Rita ( https://seer.cancer.gov/data/hurricane.html ) for 62 counties and parishes in Alabama, Mississippi, Louisiana, and Texas. US Population Data ( https://seer.cancer.gov/popdata/ ) File is used with mortality data. "

"Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ ( differences.html ) for selected racial groups or counties. "

