"Historical Trends (2002-2021)"

"Incidence, Washington, Lung & Bronchus, All Races (incl Hisp), All Ages, Both Sexes"

Section 1 - Line Segments:
Period,Annual Percent Change (1),Lower 95% Confidence Interval,Upper 95% Confidence Interval,Recent Trend
2002-2010,-1.4,-1.9,1.6,stable
2010-2021,-2.5,-4.2,-2.1,falling

Section 2 - Yearly Points:
Year,Observed,Estimated
2002,69.0,70.2
2003,70.8,69.3
2004,68.5,68.3
2005,68.3,67.4
2006,67.4,66.5
2007,62.2,65.6
2008,64.4,64.7
2009,64.1,63.8
2010,63.9,62.9
2011,60.6,61.3
2012,60.6,59.8
2013,56.7,58.3
2014,57.8,56.9
2015,55.1,55.5
2016,55.1,54.1
2017,52.7,52.7
2018,51.2,51.4
2019,51.2,50.2
2020,44.0,N/A
2021,46.7,47.7

Notes:
Created by statecancerprofiles.cancer.gov on 11/30/2025 2:42 pm.
Regression lines calculated using the Joinpoint Regression Program (Version 5.3.0) [https://surveillance.cancer.gov/joinpoint/].
The 2020 incidence rate is displayed but not used in the fit of the trend line(s). Impact of COVID on SEER Cancer Incidence 2020 data (https://seer.cancer.gov/data/covid-impact.html).
"(1) The APC is the Annual Percent Change over the time interval.  Rates used in the calculation of the APC are age-adjusted to the 2000 U.S. standard population (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+)."

"Source: Incidence data provided by the SEER Program  ( https://seer.cancer.gov )  and the  National Program of Cancer Registries ( https://www.cdc.gov/cancer/npcr/index.htm ) SEER*Stat Database United States Department of Health and Human Services, Centers for Disease Control and Prevention. Rates calculated by the National Cancer Institute using SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Rates are age-adjusted to the 2000 US standard population ( https://seer.cancer.gov/stdpopulations/single_age.html ) (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modified by NCI. The US populations included with the data release have been adjusted for the population shifts due to hurricanes Katrina and Rita ( https://seer.cancer.gov/data/hurricane.html ) for 62 counties and parishes in Alabama, Mississippi, Louisiana, and Texas. The US Population Data ( https://seer.cancer.gov/popdata/ ) File is used with SEER data. Rates and trends in this graph are computed using the same standard for malignancy. For more information see malignant.html ( /malignant.html ) "

"Source: Death data provided by the National Vital Statistics System ( https://www.cdc.gov/nchs/nvss.htm ) public use data file. Death rates calculated by the National Cancer Institute using SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Death rates (deaths per 100,000 population per year) are age-adjusted to the 2000 US standard population ( https://seer.cancer.gov/stdpopulations/stdpop.19ages.html ) (19 age groups: (<1, 1-4, 5-9, ... , 80-84, 85+). Population counts for denominators are based on Census populations as modified by NCI. The US populations included with the data release have been adjusted for the population shifts due to hurricanes Katrina and Rita ( https://seer.cancer.gov/data/hurricane.html ) for 62 counties and parishes in Alabama, Mississippi, Louisiana, and Texas. US Population Data ( https://seer.cancer.gov/popdata/ ) File is used with mortality data. "

"Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ ( differences.html ) for selected racial groups or counties. "

