"Historical Trends (2000-2021)"

"Incidence, New York, Lung & Bronchus, All Races (incl Hisp), All Ages, Both Sexes"

Section 1 - Line Segments:
Period,Annual Percent Change (1),Lower 95% Confidence Interval,Upper 95% Confidence Interval,Recent Trend
2000-2009,-0.3,-1.6,0.4,stable
2009-2014,-2.0,-3.6,1.0,stable
2014-2017,-0.1,-1.5,1.0,stable
2017-2021,-3.2,-4.7,-2.4,falling

Section 2 - Yearly Points:
Year,Observed,Estimated
2000,67.4,66.2
2001,65.4,66.0
2002,65.7,65.8
2003,65.1,65.6
2004,64.9,65.5
2005,64.8,65.3
2006,65.4,65.1
2007,65.4,64.9
2008,65.5,64.8
2009,64.3,64.6
2010,62.3,63.3
2011,62.5,62.0
2012,60.9,60.7
2013,60.0,59.5
2014,57.5,58.2
2015,58.8,58.2
2016,57.2,58.1
2017,58.2,58.0
2018,56.0,56.2
2019,54.9,54.4
2020,47.7,N/A
2021,50.8,51.0

Notes:
Created by statecancerprofiles.cancer.gov on 11/30/2025 2:32 pm.
Regression lines calculated using the Joinpoint Regression Program (Version 5.3.0) [https://surveillance.cancer.gov/joinpoint/].
The 2020 incidence rate is displayed but not used in the fit of the trend line(s). Impact of COVID on SEER Cancer Incidence 2020 data (https://seer.cancer.gov/data/covid-impact.html).
"(1) The APC is the Annual Percent Change over the time interval.  Rates used in the calculation of the APC are age-adjusted to the 2000 U.S. standard population (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+)."

"Source: Incidence data provided by the SEER Program  ( https://seer.cancer.gov )  and the  National Program of Cancer Registries ( https://www.cdc.gov/cancer/npcr/index.htm ) SEER*Stat Database United States Department of Health and Human Services, Centers for Disease Control and Prevention. Rates calculated by the National Cancer Institute using SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Rates are age-adjusted to the 2000 US standard population ( https://seer.cancer.gov/stdpopulations/single_age.html ) (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modified by NCI. The US populations included with the data release have been adjusted for the population shifts due to hurricanes Katrina and Rita ( https://seer.cancer.gov/data/hurricane.html ) for 62 counties and parishes in Alabama, Mississippi, Louisiana, and Texas. The US Population Data ( https://seer.cancer.gov/popdata/ ) File is used with SEER data. Rates and trends in this graph are computed using the same standard for malignancy. For more information see malignant.html ( /malignant.html ) "

"Source: Death data provided by the National Vital Statistics System ( https://www.cdc.gov/nchs/nvss.htm ) public use data file. Death rates calculated by the National Cancer Institute using SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Death rates (deaths per 100,000 population per year) are age-adjusted to the 2000 US standard population ( https://seer.cancer.gov/stdpopulations/stdpop.19ages.html ) (19 age groups: (<1, 1-4, 5-9, ... , 80-84, 85+). Population counts for denominators are based on Census populations as modified by NCI. The US populations included with the data release have been adjusted for the population shifts due to hurricanes Katrina and Rita ( https://seer.cancer.gov/data/hurricane.html ) for 62 counties and parishes in Alabama, Mississippi, Louisiana, and Texas. US Population Data ( https://seer.cancer.gov/popdata/ ) File is used with mortality data. "

"Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ ( differences.html ) for selected racial groups or counties. "

